,category,label,year,sales
282,EXE,Sengkang-EXE,2005,560000
283,3RM,Serangoon-3RM,2005,330000
284,4RM,Serangoon-4RM,2005,455000
285,5RM,Serangoon-5RM,2005,504000
286,EXE,Serangoon-EXE,2005,688000
287,3RM,Tampines-3RM,2005,328000
288,4RM,Tampines-4RM,2005,420500
289,5RM,Tampines-5RM,2005,520000
290,EXE,Tampines-EXE,2005,670000
291,3RM,Toa Payoh-3RM,2005,310000
292,4RM,Toa Payoh-4RM,2005,518000
293,5RM,Toa Payoh-5RM,2005,676500
294,EXE,Toa Payoh-EXE,2005,791000
295,3RM,Woodlands-3RM,2005,272000
296,4RM,Woodlands-4RM,2005,360000
297,5RM,Woodlands-5RM,2005,425000
298,EXE,Woodlands-EXE,2005,585000
299,3RM,Yishun-3RM,2005,290000
300,4RM,Yishun-4RM,2005,358000
301,5RM,Yishun-5RM,2005,460000
302,EXE,Yishun-EXE,2005,588000
303,3RM,Ang Mo Kio-3RM,2006,318000
304,4RM,Ang Mo Kio-4RM,2006,465000
305,5RM,Ang Mo Kio-5RM,2006,665000
306,EXE,Ang Mo Kio-EXE,2006,785000
307,3RM,Bedok-3RM,2006,300000
308,4RM,Bedok-4RM,2006,410000
309,5RM,Bedok-5RM,2006,555000
310,EXE,Bedok-EXE,2006,680000
311,3RM,Bishan-3RM,2006,357500
312,4RM,Bishan-4RM,2006,570000
313,5RM,Bishan-5RM,2006,752000
314,EXE,Bishan-EXE,2006,890000
315,3RM,Bukit Batok-3RM,2006,283000
316,4RM,Bukit Batok-4RM,2006,403800
317,5RM,Bukit Batok-5RM,2006,552888
318,EXE,Bukit Batok-EXE,2006,632500
319,3RM,Bukit Merah-3RM,2006,362000
320,4RM,Bukit Merah-4RM,2006,618000
321,5RM,Bukit Merah-5RM,2006,740000
322,3RM,Bukit Panjang-3RM,2006,286500
323,4RM,Bukit Panjang-4RM,2006,355000
324,5RM,Bukit Panjang-5RM,2006,460000
325,EXE,Bukit Panjang-EXE,2006,585000
326,3RM,Bukit Timah-3RM,2006,390000
327,4RM,Bukit Timah-4RM,2006,655000
